slug,canonical_title,skills,education,selection_process,salary_min,salary_max,industry,sub_sector,category,demand_count,raw_title_count,source
sales-executive,Sales Executive,Communication; Sales; English Proficiency; Marketing; Computer Knowledge; Hindi; Convincing Skills; Typing; Presentation Skills; Negotiation; Customer Service; Banking,12th standard,Interview,185000,265000,BFSI,Retail,Sales and Marketing,1396,91,taf
customer-care-executive,Customer Care Executive,Communication; English Proficiency; Sales; Hindi; Computer Knowledge; Typing; Customer Service; Interpersonal Skills; Problem Solving; Convincing Skills; MS Office; CRM,12th standard,PI,180000,250000,BFSI,BFSI,Banking and Finance,444,24,taf
customer-service-associate,Customer Service Associate,Communication; English Proficiency; Customer Service; Sales; Typing; Hindi; Computer Knowledge; MS Excel; MS Office; Interpersonal Skills; Convincing Skills; Presentation Skills,12th standard,Direct Interview,200000,235000,BFSI,Retail,IT/ITES,426,42,taf
tele-caller,Tele Caller,Communication; Computer Knowledge; English Proficiency; Sales; Interpersonal Skills; Hindi; Convincing Skills; Telecalling; Banking; Typing; Negotiation; Local Language,12th standard,Interview,150000,200000,BFSI,Sales & Marketing,Banking and Finance,373,40,taf
data-entry-operator,Data Entry Operator,Typing; Communication; Computer Knowledge; Data Entry; English Proficiency; MS Office; Documentation; MS Excel; Hindi; Interpersonal Skills; Convincing Skills; Customer Service,12th standard,Interview,150000,220000,IT,BFSI,Banking and Finance,364,25,taf
computer-operator,Computer Operator,Communication; Computer Knowledge; Data Entry; Documentation; Typing; Problem Solving; Sales; Customer Service; MS Office; Interpersonal Skills; MS Excel; Hindi,12th standard,Direct Interview,,,BFSI,BFSI,,351,17,taf
trainer,Trainer,Communication; MS Excel; MS Office; Sales; Presentation Skills; Interpersonal Skills; Leadership; English Proficiency; Accounting; Computer Knowledge; Documentation; Tally,Any Graduate,Technical Interview/HR,,,BFSI,Training,,239,12,taf
customer-service-executive,Customer Service Executive,Communication; English Proficiency; Hindi; Customer Service; Typing; Sales; Adaptability; Computer Knowledge; Convincing Skills; Problem Solving; Presentation Skills; Negotiation,12th standard,Face to Face,205000,240000,BFSI,BPO,Banking and Finance,213,16,taf
sales-associate,Sales Associate,Communication; Sales; Interpersonal Skills; Computer Knowledge; English Proficiency; Hindi; Customer Service; Local Language; Convincing Skills; Teamwork; Marketing; Banking,12th standard,Interview,270000,310000,Retail,Retail,Banking and Finance,190,23,taf
software-engineer,Software Engineer,Communication; Analytical Skills; Problem Solving; Teamwork; Interpersonal Skills; English Proficiency; MS Office; Windows OS; Adaptability; Computer Knowledge; Hardware Troubleshooting; MS Excel,B.Tech/B.E,Technical - HR,150000,280000,IT,IT,Technology,189,37,taf
