Job Role,Skill Category,Skill Name,Proficiency Level
Software Developer,Software Developer,Python,Beginner
Software Developer,Software Developer,Python,Intermediate
Software Developer,Software Developer,Python,Advanced
Software Developer,Software Developer,PHP,Beginner
Software Developer,Software Developer,PHP,Intermediate
Software Developer,Software Developer,PHP,Advanced
Software Developer,Software Developer,Java,Beginner
Software Developer,Software Developer,Java,Intermediate
Software Developer,Software Developer,Java,Advanced
Software Developer,Software Developer,JavaScript,Beginner
Software Developer,Software Developer,JavaScript,Intermediate
Software Developer,Software Developer,JavaScript,Advanced
Software Developer,Software Developer,SQL,Beginner
Software Developer,Software Developer,SQL,Intermediate
Software Developer,Software Developer,SQL,Advanced
Software Developer,Software Developer,Git,Beginner
Software Developer,Software Developer,Git,Intermediate
Software Developer,Software Developer,Git,Advanced
Software Developer,Software Developer,REST API,Beginner
Software Developer,Software Developer,REST API,Intermediate
Software Developer,Software Developer,REST API,Advanced
Software Developer,Software Developer,OOP,Beginner
Software Developer,Software Developer,OOP,Intermediate
Software Developer,Software Developer,OOP,Advanced
Software Developer,Software Developer,Debugging,Beginner
Software Developer,Software Developer,Debugging,Intermediate
Software Developer,Software Developer,Debugging,Advanced
Software Developer,Software Developer,Microservices,Beginner
Software Developer,Software Developer,Microservices,Intermediate
Software Developer,Software Developer,Microservices,Advanced
Full Stack Developer,Full Stack Developer,HTML,Beginner
Full Stack Developer,Full Stack Developer,HTML,Intermediate
Full Stack Developer,Full Stack Developer,HTML,Advanced
Full Stack Developer,Full Stack Developer,CSS,Beginner
Full Stack Developer,Full Stack Developer,CSS,Intermediate
Full Stack Developer,Full Stack Developer,CSS,Advanced
Full Stack Developer,Full Stack Developer,JavaScript,Beginner
Full Stack Developer,Full Stack Developer,JavaScript,Intermediate
Full Stack Developer,Full Stack Developer,JavaScript,Advanced
Full Stack Developer,Full Stack Developer,React,Beginner
Full Stack Developer,Full Stack Developer,React,Intermediate
Full Stack Developer,Full Stack Developer,React,Advanced
Full Stack Developer,Full Stack Developer,Node.js,Beginner
Full Stack Developer,Full Stack Developer,Node.js,Intermediate
Full Stack Developer,Full Stack Developer,Node.js,Advanced
Full Stack Developer,Full Stack Developer,Python,Beginner
Full Stack Developer,Full Stack Developer,Python,Intermediate
Full Stack Developer,Full Stack Developer,Python,Advanced
Full Stack Developer,Full Stack Developer,SQL,Beginner
Full Stack Developer,Full Stack Developer,SQL,Intermediate
Full Stack Developer,Full Stack Developer,SQL,Advanced
Full Stack Developer,Full Stack Developer,API Integration,Beginner
Full Stack Developer,Full Stack Developer,API Integration,Intermediate
Full Stack Developer,Full Stack Developer,API Integration,Advanced
Full Stack Developer,Full Stack Developer,Git,Beginner
Full Stack Developer,Full Stack Developer,Git,Intermediate
Full Stack Developer,Full Stack Developer,Git,Advanced
Full Stack Developer,Full Stack Developer,Docker,Beginner
Full Stack Developer,Full Stack Developer,Docker,Intermediate
Full Stack Developer,Full Stack Developer,Docker,Advanced
AI Engineer,AI Engineer,Machine Learning,Beginner
AI Engineer,AI Engineer,Machine Learning,Intermediate
AI Engineer,AI Engineer,Machine Learning,Advanced
AI Engineer,AI Engineer,Deep Learning,Beginner
AI Engineer,AI Engineer,Deep Learning,Intermediate
AI Engineer,AI Engineer,Deep Learning,Advanced
AI Engineer,AI Engineer,Python,Beginner
AI Engineer,AI Engineer,Python,Intermediate
AI Engineer,AI Engineer,Python,Advanced
AI Engineer,AI Engineer,LLM,Beginner
AI Engineer,AI Engineer,LLM,Intermediate
AI Engineer,AI Engineer,LLM,Advanced
AI Engineer,AI Engineer,Prompt Engineering,Beginner
AI Engineer,AI Engineer,Prompt Engineering,Intermediate
AI Engineer,AI Engineer,Prompt Engineering,Advanced
AI Engineer,AI Engineer,TensorFlow,Beginner
AI Engineer,AI Engineer,TensorFlow,Intermediate
AI Engineer,AI Engineer,TensorFlow,Advanced
AI Engineer,AI Engineer,PyTorch,Beginner
AI Engineer,AI Engineer,PyTorch,Intermediate
AI Engineer,AI Engineer,PyTorch,Advanced
AI Engineer,AI Engineer,MLOps,Beginner
AI Engineer,AI Engineer,MLOps,Intermediate
AI Engineer,AI Engineer,MLOps,Advanced
AI Engineer,AI Engineer,NLP,Beginner
AI Engineer,AI Engineer,NLP,Intermediate
AI Engineer,AI Engineer,NLP,Advanced
AI Engineer,AI Engineer,Vector Databases,Beginner
AI Engineer,AI Engineer,Vector Databases,Intermediate
AI Engineer,AI Engineer,Vector Databases,Advanced
ML Engineer,ML Engineer,Python,Beginner
ML Engineer,ML Engineer,Python,Intermediate
ML Engineer,ML Engineer,Python,Advanced
ML Engineer,ML Engineer,Machine Learning,Beginner
ML Engineer,ML Engineer,Machine Learning,Intermediate
ML Engineer,ML Engineer,Machine Learning,Advanced
ML Engineer,ML Engineer,Feature Engineering,Beginner
ML Engineer,ML Engineer,Feature Engineering,Intermediate
ML Engineer,ML Engineer,Feature Engineering,Advanced
ML Engineer,ML Engineer,Model Deployment,Beginner
ML Engineer,ML Engineer,Model Deployment,Intermediate
ML Engineer,ML Engineer,Model Deployment,Advanced
ML Engineer,ML Engineer,MLOps,Beginner
ML Engineer,ML Engineer,MLOps,Intermediate
ML Engineer,ML Engineer,MLOps,Advanced
ML Engineer,ML Engineer,TensorFlow,Beginner
ML Engineer,ML Engineer,TensorFlow,Intermediate
ML Engineer,ML Engineer,TensorFlow,Advanced
ML Engineer,ML Engineer,PyTorch,Beginner
ML Engineer,ML Engineer,PyTorch,Intermediate
ML Engineer,ML Engineer,PyTorch,Advanced
ML Engineer,ML Engineer,Statistics,Beginner
ML Engineer,ML Engineer,Statistics,Intermediate
ML Engineer,ML Engineer,Statistics,Advanced
ML Engineer,ML Engineer,SQL,Beginner
ML Engineer,ML Engineer,SQL,Intermediate
ML Engineer,ML Engineer,SQL,Advanced
ML Engineer,ML Engineer,Cloud AI,Beginner
ML Engineer,ML Engineer,Cloud AI,Intermediate
ML Engineer,ML Engineer,Cloud AI,Advanced
Data Scientist,Data Scientist,Python,Beginner
Data Scientist,Data Scientist,Python,Intermediate
Data Scientist,Data Scientist,Python,Advanced
Data Scientist,Data Scientist,R,Beginner
Data Scientist,Data Scientist,R,Intermediate
Data Scientist,Data Scientist,R,Advanced
Data Scientist,Data Scientist,Statistics,Beginner
Data Scientist,Data Scientist,Statistics,Intermediate
Data Scientist,Data Scientist,Statistics,Advanced
Data Scientist,Data Scientist,Machine Learning,Beginner
Data Scientist,Data Scientist,Machine Learning,Intermediate
Data Scientist,Data Scientist,Machine Learning,Advanced
Data Scientist,Data Scientist,Data Visualization,Beginner
Data Scientist,Data Scientist,Data Visualization,Intermediate
Data Scientist,Data Scientist,Data Visualization,Advanced
Data Scientist,Data Scientist,SQL,Beginner
