Category,SubCategory,Certification Name,Level,Job Role
AI & ML,AI & ML,Machine Learning Certification,Foundation,Software Developer
AI & ML,AI & ML,Machine Learning Certification,Associate,Senior Developer
AI & ML,AI & ML,Machine Learning Certification,Professional,Tech Lead
AI & ML,AI & ML,Machine Learning Certification,Advanced,AI Engineer
AI & ML,AI & ML,Deep Learning Certification,Foundation,ML Engineer
AI & ML,AI & ML,Deep Learning Certification,Associate,Data Scientist
AI & ML,AI & ML,Deep Learning Certification,Professional,Data Analyst
AI & ML,AI & ML,Deep Learning Certification,Advanced,MIS Executive
AI & ML,AI & ML,Generative AI Certification,Foundation,Project Manager
AI & ML,AI & ML,Generative AI Certification,Associate,Business Analyst
AI & ML,AI & ML,Generative AI Certification,Professional,DevOps Engineer
AI & ML,AI & ML,Generative AI Certification,Advanced,Cloud Engineer
AI & ML,AI & ML,NLP Certification,Foundation,Security Analyst
AI & ML,AI & ML,NLP Certification,Associate,QA Engineer
AI & ML,AI & ML,NLP Certification,Professional,Banking Professional
AI & ML,AI & ML,NLP Certification,Advanced,Finance Analyst
AI & ML,AI & ML,Computer Vision Certification,Foundation,HR Executive
AI & ML,AI & ML,Computer Vision Certification,Associate,Digital Marketing Executive
AI & ML,AI & ML,Computer Vision Certification,Professional,Network Engineer
AI & ML,AI & ML,Computer Vision Certification,Advanced,ERP Consultant
AI & ML,AI & ML,MLOps Certification,Foundation,Software Developer
AI & ML,AI & ML,MLOps Certification,Associate,Senior Developer
AI & ML,AI & ML,MLOps Certification,Professional,Tech Lead
AI & ML,AI & ML,MLOps Certification,Advanced,AI Engineer
AI & ML,AI & ML,Prompt Engineering Certification,Foundation,ML Engineer
AI & ML,AI & ML,Prompt Engineering Certification,Associate,Data Scientist
AI & ML,AI & ML,Prompt Engineering Certification,Professional,Data Analyst
AI & ML,AI & ML,Prompt Engineering Certification,Advanced,MIS Executive
AI & ML,AI & ML,AI Agent Development Certification,Foundation,Project Manager
AI & ML,AI & ML,AI Agent Development Certification,Associate,Business Analyst
AI & ML,AI & ML,AI Agent Development Certification,Professional,DevOps Engineer
AI & ML,AI & ML,AI Agent Development Certification,Advanced,Cloud Engineer
AI & ML,AI & ML,TensorFlow Certification,Foundation,Security Analyst
AI & ML,AI & ML,TensorFlow Certification,Associate,QA Engineer
AI & ML,AI & ML,TensorFlow Certification,Professional,Banking Professional
AI & ML,AI & ML,TensorFlow Certification,Advanced,Finance Analyst
AI & ML,AI & ML,PyTorch Certification,Foundation,HR Executive
AI & ML,AI & ML,PyTorch Certification,Associate,Digital Marketing Executive
AI & ML,AI & ML,PyTorch Certification,Professional,Network Engineer
AI & ML,AI & ML,PyTorch Certification,Advanced,ERP Consultant
AI & ML,AI & ML,Responsible AI Certification,Foundation,Software Developer
AI & ML,AI & ML,Responsible AI Certification,Associate,Senior Developer
AI & ML,AI & ML,Responsible AI Certification,Professional,Tech Lead
AI & ML,AI & ML,Responsible AI Certification,Advanced,AI Engineer
AI & ML,AI & ML,LLM Engineering Certification,Foundation,ML Engineer
AI & ML,AI & ML,LLM Engineering Certification,Associate,Data Scientist
AI & ML,AI & ML,LLM Engineering Certification,Professional,Data Analyst
AI & ML,AI & ML,LLM Engineering Certification,Advanced,MIS Executive
Data Science,Data Science,Data Science Certification,Foundation,Project Manager
Data Science,Data Science,Data Science Certification,Associate,Business Analyst
Data Science,Data Science,Data Science Certification,Professional,DevOps Engineer
Data Science,Data Science,Data Science Certification,Advanced,Cloud Engineer
Data Science,Data Science,Data Analytics Certification,Foundation,Security Analyst
Data Science,Data Science,Data Analytics Certification,Associate,QA Engineer
Data Science,Data Science,Data Analytics Certification,Professional,Banking Professional
Data Science,Data Science,Data Analytics Certification,Advanced,Finance Analyst
Data Science,Data Science,Business Analytics Certification,Foundation,HR Executive
Data Science,Data Science,Business Analytics Certification,Associate,Digital Marketing Executive
Data Science,Data Science,Business Analytics Certification,Professional,Network Engineer
Data Science,Data Science,Business Analytics Certification,Advanced,ERP Consultant
Data Science,Data Science,Statistics Certification,Foundation,Software Developer
Data Science,Data Science,Statistics Certification,Associate,Senior Developer
Data Science,Data Science,Statistics Certification,Professional,Tech Lead
Data Science,Data Science,Statistics Certification,Advanced,AI Engineer
